amc,year,month,status,description,source_page,download_url,file_path,error
IL&FS Mutual Fund (IDF),2021,10,NO_DATA,AMC reported no portfolio disclosure for this period: RuntimeError: IL&FS page has no combined monthly report for 2021-10,,,,
IL&FS Mutual Fund (IDF),2021,11,NO_DATA,AMC reported no portfolio disclosure for this period: RuntimeError: IL&FS page has no combined monthly report for 2021-11,,,,
IL&FS Mutual Fund (IDF),2021,12,NO_DATA,AMC reported no portfolio disclosure for this period: RuntimeError: IL&FS page has no combined monthly report for 2021-12,,,,
IL&FS Mutual Fund (IDF),2022,01,NO_DATA,AMC reported no portfolio disclosure for this period: RuntimeError: IL&FS page has no combined monthly report for 2022-01,,,,
IL&FS Mutual Fund (IDF),2022,02,NO_DATA,AMC reported no portfolio disclosure for this period: RuntimeError: IL&FS page has no combined monthly report for 2022-02,,,,
IL&FS Mutual Fund (IDF),2022,03,NO_DATA,AMC reported no portfolio disclosure for this period: RuntimeError: IL&FS page has no combined monthly report for 2022-03,,,,
IL&FS Mutual Fund (IDF),2022,04,NO_DATA,AMC reported no portfolio disclosure for this period: RuntimeError: IL&FS page has no combined monthly report for 2022-04,,,,
IL&FS Mutual Fund (IDF),2022,05,NO_DATA,AMC reported no portfolio disclosure for this period: RuntimeError: IL&FS page has no combined monthly report for 2022-05,,,,
IL&FS Mutual Fund (IDF),2022,06,NO_DATA,AMC reported no portfolio disclosure for this period: RuntimeError: IL&FS page has no combined monthly report for 2022-06,,,,
IL&FS Mutual Fund (IDF),2022,07,NO_DATA,AMC reported no portfolio disclosure for this period: RuntimeError: IL&FS page has no combined monthly report for 2022-07,,,,
IL&FS Mutual Fund (IDF),2022,08,NO_DATA,AMC reported no portfolio disclosure for this period: RuntimeError: IL&FS page has no combined monthly report for 2022-08,,,,
IL&FS Mutual Fund (IDF),2022,09,NO_DATA,AMC reported no portfolio disclosure for this period: RuntimeError: IL&FS page has no combined monthly report for 2022-09,,,,
IL&FS Mutual Fund (IDF),2022,10,NO_DATA,AMC reported no portfolio disclosure for this period: RuntimeError: IL&FS page has no combined monthly report for 2022-10,,,,
IL&FS Mutual Fund (IDF),2022,11,NO_DATA,AMC reported no portfolio disclosure for this period: RuntimeError: IL&FS page has no combined monthly report for 2022-11,,,,
IL&FS Mutual Fund (IDF),2022,12,NO_DATA,AMC reported no portfolio disclosure for this period: RuntimeError: IL&FS page has no combined monthly report for 2022-12,,,,
JM Financial Mutual Fund,2018,03,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: INCOMPLETE [attempt 4/4],https://www.jmfinancialmf.com/downloads/Portfolio-Disclosure,https://www.jmfinancialmf.com/CMS/downloads/Portfolio Disclosure/Monthly Portfolio of Schemes/March 2018 port..xlsx,data\raw\jm_financial\2018-03,Status: INCOMPLETE
JM Financial Mutual Fund,2020,12,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: DOWNLOAD_FAILED [attempt 4/4],https://www.jmfinancialmf.com/downloads/Portfolio-Disclosure,https://www.jmfinancialmf.com/CMS/downloads/Portfolio Disclosure/Monthly Portfolio of Schemes/Template Portfolio & Risk-o-Metre Disclosure - Monthly 31st  December 2020.xls,data\raw\jm_financial\2020-12,Status: DOWNLOAD_FAILED
Kotak Mahindra Mutual Fund,2026,08,UNKNOWN_ERROR,"Unexpected failure (exit 1): RuntimeError: Expected JSON from https://www.kotakmf.com/api/kotakapi/forms/user/getsubheaderList/417, got: '<!DOCTYPE html> <html lang=""en""> <head>     <title>Radware Captcha Page</title>     <meta charset=""utf-8""> <meta name=""viewport"" content=""width=device-width, initial-scale=1""> <link rel=""stylesheet"" href=""https://captcha.perfdrive.com/captcha-public/css/shieldsquare_styles.min.css"">     <script type' [attempt 4/4]",,,,"RuntimeError: Expected JSON from https://www.kotakmf.com/api/kotakapi/forms/user/getsubheaderList/417, got: '<!DOCTYPE html> <html lang=""en""> <head>     <title>Radware Captcha Page</title>     <meta charset=""utf-8""> <meta name=""viewport"" content=""width=device-width, initial-scale=1""> <link rel=""stylesheet"" href=""https://captcha.perfdrive.com/captcha-public/css/shieldsquare_styles.min.css"">     <script type'"
Navi Mutual Fund,2025,07,DOWNLOAD_FAILED,File(s) discovered but download/validation did not complete: Status: INCOMPLETE [attempt 4/4],https://navi.com/mutual-fund/downloads/portfolio,https://public-assets.prod.navi-tech.in/navi-website-assests/documents/Navi%20Aggressive%20Hybrid%20Fund%201st%20July%20-%2031st%20July%202025_20250808161313.xlsx,data\raw\navi\2025-07,Status: INCOMPLETE
